set_num,retail
10312-1,229.99
10313-1,59.99
001-1,4.95
0011-2,4.49
0012-1,1.99
0013-1,1.99
0014-1,1.99
0015-1,2.99
0016-1,2.99
002-1,4.95
003-1,17.95
005-1,1.25
010-1,1.25
010-2,3
010-3,2.75
011-1,3.25
021-1,4.95
022-1,2.25
028-1,NA
030-2,NA
032-1,13.25
033-1,NA
033-2,9.5
041-1,4.95
041-2,NA
042-1,3.5
044-1,6.75
044-2,4.95
045-1,13.5
045-2,0.5
050-2,0.5
051-1,0.5
052-1,0.5
053-1,0.5
054-1,0.5
055-1,0.5
055-2,5.75
057-1,1.5
058-1,1.5
060-1,0.5
060-3,20
061-1,0.5
062-1,0.5
063-1,0.5
063-2,NA
065-1,0.5
066-1,11.25
071-1,NA
078-1,1.99
080-1,22.5
080-2,24.99
080-3,NA
082-1,NA
086-1,NA
088-1,59.99
1-11,NA
1-12,3.75
1-3,1
1-7,NA
1-8,1.25
10-1,9.75
10-2,2
100-1,5.99
100-2,6.5
1000-1,46.75
10000-1,24.99
10001-1,149.99
10002-1,37.49
10003-1,5.99
10004-1,6.99
10005-1,6.99
10006-1,6.99
10007-1,4.99
10008-1,7.99
10009-1,4.99
10010-1,4.99
10011-1,4.99
10012-1,4.99
10013-1,16.99
10014-1,14.99
10015-1,19.99
10016-1,19.99
10017-1,19.99
10018-1,149.99
10019-1,199.99
10020-1,39.99
10020-2,39.99
10021-1,59.99
10022-1,34.99
10023-1,12.99
10024-1,49.99
10025-1,34.99
10026-1,39.99
10027-1,69.99
10029-1,39.99
10030-1,269.99
10036-1,19.99
10037-1,22.99
10039-1,39.99
10040-1,89.99
10041-1,65
10042-1,2.99
10043-1,5.99
10044-1,7.99
10045-1,12.99
10046-1,6.99
10047-1,5.99
10048-1,7.99
10049-1,5.99
10050-1,5.99
10051-1,6.99
10052-1,54.99
10053-1,5.99
10054-1,5.99
10055-1,5.99
10056-1,4.99
10057-1,4.99
10058-1,4.99
10059-1,4.99
10060-1,4.99
10061-1,4.99
10062-1,4.99
10063-1,4.99
10064-1,4.99
10065-1,4.99
10066-1,4.99
10067-1,4.99
10068-1,2.49
10069-1,2.49
10070-1,2.49
10071-1,2.49
10072-1,9.99
10073-1,9.99
10074-1,9.99
10075-1,26.99
10076-1,12.99
10077-1,12.99
10078-1,8.99
10079-1,2.49
10080-1,2.49
10081-1,5.99
10082-1,5.99
10083-1,5.99
10090-1,3.49
100STORES-1,NA
101-1,1.5
101-2,4.95
101-3,2.35
10106-1,7.99
1011-1,31.99
10111-1,5.99
10112-1,6.99
10113-1,4.99
10114-1,7.99
10115-1,4.99
10116-1,4.99
10117-1,4.99
10118-1,4.99
10121-1,9.99
10123-1,99.99
10124-1,59.99
10127-1,8.99
10128-1,49.99
10129-1,129.99
10131-1,69.99
10132-1,119.99
10133-1,39.99
10134-1,119.99
10135-1,34.99
1014-2,29.15
10143-1,269.99
10144-1,139.99
10145-1,4.99
10146-1,4.99
10147-1,4.99
10148-1,4.99
10149-1,4.99
1015-1,NA
10150-1,4.99
10151-1,39.99
10152-1,74.99
10153-1,24.99
10155-1,119.99
10156-1,14.99
10157-1,24.99
10158-1,24.99
10159-1,89.99
10160-1,5.99
10161-1,5.99
10162-1,5.99
10163-1,5.99
10165-1,2.49
10166-1,2.49
10167-1,NA
10168-1,3.99
10169-1,3.99
1017-1,48
10170-1,39.99
10173-1,89.99
10174-1,79.99
10175-1,99.99
10176-1,99.99
10177-1,79.99
10178-1,129.99
10179-1,499.99
10181-1,199.99
10182-1,139.99
10183-1,99.99
10184-1,149.99
10185-1,149.99
10186-1,89.99
10187-1,119.99
10188-1,399.99
10189-1,299.99
1019-1,8.25
10190-1,89.99
10191-1,99.99
10192-1,99.99
10193-1,99.99
10194-1,99.99
10195-1,249.99
10196-1,249.99
10197-1,149.99
10198-1,149.99
10199-1,59.99
102-1,14.5
102-3,3.95
1020-1,NA
10200-1,69.99
10201-1,49.99
10202-1,49.99
10205-1,23.99
1021-1,NA
10210-1,179.99
10211-1,149.99
10212-1,259.99
10213-1,99.99
10214-1,239.99
10215-1,99.99
10216-1,54.99
10217-1,149.99
10218-1,149.99
10219-1,119.99
1022-1,NA
10220-1,119.99
10221-1,399.99
10222-1,69.99
10223-1,119.99
10224-1,199.99
10225-1,179.99
10226-1,99.99
10227-1,199.99
10228-1,179.99
10229-1,99.99
1023-1,9.99
10230-1,79.99
10231-1,99.99
10232-1,149.99
10233-1,129.99
10234-1,319.99
10235-1,99.99
10236-1,249.99
10237-1,199.99
1024-1,NA
10240-1,199.99
10241-1,149.99
10242-1,99.99
10243-1,159.99
10244-1,149.99
10245-1,69.99
10246-1,159.99
10247-1,199.99
10248-1,99.99
10249-1,79.99
1025-1,NA
10250-1,49.99
10251-1,169.99
10252-1,99.99
10253-1,249.99
10254-1,99.99
10255-1,299.99
10256-1,369.99
10257-1,199.99
10258-1,139.99
10259-1,79.99
1026-1,NA
10260-1,169.99
10261-1,379.99
10262-1,149.99
10263-1,99.99
10264-1,199.99
10265-1,169.99
10266-1,99.99
10267-1,99.99
10268-1,199.99
10269-1,99.99
1027-1,NA
10270-1,199.99
10271-1,89.99
10272-1,299.99
10273-1,299.99
10274-1,239.99
10275-1,99.99
10276-1,549.99
10277-1,99.99
10278-1,199.99
10279-1,179.99
1028-1,NA
10280-1,59.99
10281-1,49.99
10282-1,79.99
10283-1,199.99
10284-1,349.99
10285-1,54.99
10287-1,169.99
10289-1,99.99
1029-1,NA
10290-1,129.99
10291-1,99.99
10292-1,179.99
10293-1,99.99
10294-1,679.99
10295-1,169.99
10297-1,229.99
10298-1,99.99
10299-1,399.99
102A-1,12.49
103-1,7.25
103-2,9.95
1030-1,74.99
10300-1,199.99
10302-1,179.99
10303-1,399.99
10304-1,169.99
10305-1,399.99
10306-1,239.99
10307-1,629.99
10308-1,99.99
10309-1,49.99
1031-1,15.75
10311-1,49.99
10314-1,49.99
10316-1,499.99
10317-1,239.99
1032-1,79.99
1033-1,NA
1034-1,129
1038-1,NA
1039-1,NA
104-1,2.5
1040-1,NA
1040-2,NA
10401-1,4.99
10402-1,9.99
10403-1,19.99
10404-1,29.99
10405-1,59.99
1041-1,NA
1041-2,36.49
10411-1,69.99
1042-1,NA
1043-1,NA
1044-1,NA
1045-1,NA
1045-2,38.5
1046-1,NA
1047-1,NA
1048-1,7.99
1049-1,NA
10497-1,99.99
105-1,5.95
105-2,NA
105-3,14.95
1050-1,NA
10500-1,29.99
10501-1,4.99
10502-1,29.99
10503-1,14.99
10504-1,34.99
10505-1,59.99
10506-1,19.99
10507-1,44.99
10508-1,109.99
10509-1,14.99
10510-1,24.99
10511-1,39.99
10512-1,14.99
10513-1,24.99
10514-1,39.99
10515-1,29.99
10516-1,14.99
10517-1,12.99
10518-1,19.99
10519-1,19.99
10520-1,19.99
10521-1,6.99
10522-1,9.99
10524-1,19.99
10525-1,59.99
10526-1,29.99
10527-1,14.99
10528-1,19.99
10529-1,14.99
